trial_number,params,fold_rmses,mean_rmse
62,"{'lookback': 36, 'filters': 37, 'kernel_size': 2, 'lstm_units': 64, 'dense_units': 40, 'dropout_rate': 0.46371292874960435, 'learning_rate': 0.004600755493178729, 'l2_reg': 0.0003202190753914549, 'batch_size_exp': 5, 'batch_size': 32}","[np.float64(0.0062788370181075335), np.float64(0.006220485071149574), np.float64(0.01214820110220333), np.float64(0.008816466412694847), np.float64(0.007565293198649134)]",0.008205856560560883
64,"{'lookback': 40, 'filters': 37, 'kernel_size': 2, 'lstm_units': 53, 'dense_units': 39, 'dropout_rate': 0.4430935513441757, 'learning_rate': 0.00402988090550821, 'l2_reg': 0.0002911177864371309, 'batch_size_exp': 5, 'batch_size': 32}","[np.float64(0.006245986665768523), np.float64(0.006222214934952404), np.float64(0.012148428311471211), np.float64(0.008815147726693982), np.float64(0.007580095848077179)]",0.00820237469739266
65,"{'lookback': 38, 'filters': 48, 'kernel_size': 2, 'lstm_units': 51, 'dense_units': 40, 'dropout_rate': 0.4797946062622428, 'learning_rate': 0.005542975870344606, 'l2_reg': 0.0002439812418746762, 'batch_size_exp': 5, 'batch_size': 32}","[np.float64(0.006250825467278751), np.float64(0.006223381856841005), np.float64(0.012148623614657938), np.float64(0.008836738165806199), np.float64(0.007558881976470073)]",0.008203690216210794
83,"{'lookback': 36, 'filters': 37, 'kernel_size': 3, 'lstm_units': 92, 'dense_units': 37, 'dropout_rate': 0.3958134483775231, 'learning_rate': 0.004308863775030771, 'l2_reg': 0.0002346980484699559, 'batch_size_exp': 4, 'batch_size': 16}","[np.float64(0.00624743677675638), np.float64(0.006222712576590963), np.float64(0.012147967910243838), np.float64(0.00883383970535922), np.float64(0.007557301963775342)]",0.008201851786545148
84,"{'lookback': 36, 'filters': 37, 'kernel_size': 3, 'lstm_units': 92, 'dense_units': 40, 'dropout_rate': 0.37288342446873485, 'learning_rate': 0.0042690430145258165, 'l2_reg': 0.00023542174118526557, 'batch_size_exp': 4, 'batch_size': 16}","[np.float64(0.00626025200684785), np.float64(0.0062271837886772865), np.float64(0.012151663180012047), np.float64(0.008876241122828442), np.float64(0.0075555552416748046)]",0.008214179068008086
87,"{'lookback': 37, 'filters': 27, 'kernel_size': 2, 'lstm_units': 46, 'dense_units': 39, 'dropout_rate': 0.4034519562276655, 'learning_rate': 0.004470452266272053, 'l2_reg': 0.0002479009318575558, 'batch_size_exp': 4, 'batch_size': 16}","[np.float64(0.006240303627670121), np.float64(0.0062301494032876836), np.float64(0.012155890609465425), np.float64(0.008818318709248136), np.float64(0.007564874795771011)]",0.008201907429088476
90,"{'lookback': 38, 'filters': 38, 'kernel_size': 4, 'lstm_units': 92, 'dense_units': 38, 'dropout_rate': 0.4580355663877388, 'learning_rate': 0.004287494641967994, 'l2_reg': 0.00020961304205909775, 'batch_size_exp': 4, 'batch_size': 16}","[np.float64(0.006254039609372334), np.float64(0.006225033452418972), np.float64(0.012150831527399724), np.float64(0.008826705460652968), np.float64(0.007554865978338407)]",0.008202295205636482
91,"{'lookback': 36, 'filters': 27, 'kernel_size': 2, 'lstm_units': 47, 'dense_units': 39, 'dropout_rate': 0.40160912002307203, 'learning_rate': 0.004448971492463646, 'l2_reg': 0.00025382049490858854, 'batch_size_exp': 4, 'batch_size': 16}","[np.float64(0.006211693743023812), np.float64(0.006229028586252484), np.float64(0.012159427101812791), np.float64(0.008820494358565065), np.float64(0.007554815061978056)]",0.00819509177032644
95,"{'lookback': 35, 'filters': 25, 'kernel_size': 2, 'lstm_units': 42, 'dense_units': 39, 'dropout_rate': 0.403107215566142, 'learning_rate': 0.004462091275934366, 'l2_reg': 0.00035317155623810494, 'batch_size_exp': 4, 'batch_size': 16}","[np.float64(0.006262933526890203), np.float64(0.0062213430780604624), np.float64(0.012146393977134014), np.float64(0.008826661491004438), np.float64(0.007556499261236588)]",0.008202766266865141
96,"{'lookback': 36, 'filters': 47, 'kernel_size': 2, 'lstm_units': 45, 'dense_units': 34, 'dropout_rate': 0.40782691415141004, 'learning_rate': 0.0037814112430156247, 'l2_reg': 0.00024279305744483143, 'batch_size_exp': 4, 'batch_size': 16}","[np.float64(0.00622959439294069), np.float64(0.006232056603556402), np.float64(0.012156548168895892), np.float64(0.008815000693551943), np.float64(0.007556253747097078)]",0.008197890721208401
