trial_number,params,fold_rmses,mean_rmse
61,"{'lookback': 36, 'filters': 38, 'kernel_size': 4, 'lstm_units': 109, 'dense_units': 40, 'dropout_rate': 0.3519226607085214, 'learning_rate': 0.004224161734446525, 'l2_reg': 0.0019483367524428816, 'batch_size_exp': 4, 'batch_size': 16}","[np.float64(0.006255125264902947), np.float64(0.006237657825944133), np.float64(0.012157271101237349), np.float64(0.008812631504610117), np.float64(0.007555108520868491)]",0.008203558843512608
63,"{'lookback': 36, 'filters': 29, 'kernel_size': 4, 'lstm_units': 106, 'dense_units': 39, 'dropout_rate': 0.3488221352923626, 'learning_rate': 0.007428207569596241, 'l2_reg': 0.0012209975167764237, 'batch_size_exp': 4, 'batch_size': 16}","[np.float64(0.006260808138376238), np.float64(0.006241168463823166), np.float64(0.012148505258951328), np.float64(0.008859839796259688), np.float64(0.007601435399124152)]",0.008222351411306913
64,"{'lookback': 33, 'filters': 42, 'kernel_size': 4, 'lstm_units': 106, 'dense_units': 44, 'dropout_rate': 0.3587437322329474, 'learning_rate': 0.003979093037131078, 'l2_reg': 0.001464863011167058, 'batch_size_exp': 4, 'batch_size': 16}","[np.float64(0.006263598689137278), np.float64(0.00622555958403476), np.float64(0.012162381223910662), np.float64(0.00883801348768625), np.float64(0.007565940065297756)]",0.008211098610013342
66,"{'lookback': 30, 'filters': 41, 'kernel_size': 4, 'lstm_units': 51, 'dense_units': 34, 'dropout_rate': 0.4204894974984194, 'learning_rate': 0.0033235016478124035, 'l2_reg': 0.001425729995674502, 'batch_size_exp': 5, 'batch_size': 32}","[np.float64(0.006253077470837544), np.float64(0.006220537818153381), np.float64(0.012150783523849639), np.float64(0.008812000887512668), np.float64(0.007607260658343204)]",0.008208732071739288
68,"{'lookback': 35, 'filters': 40, 'kernel_size': 4, 'lstm_units': 52, 'dense_units': 47, 'dropout_rate': 0.4397591164240099, 'learning_rate': 0.003327778253925813, 'l2_reg': 0.0015039577142312685, 'batch_size_exp': 6, 'batch_size': 64}","[np.float64(0.006229248185903083), np.float64(0.006312618471089666), np.float64(0.012174402856944077), np.float64(0.008818935928401012), np.float64(0.007593978773268955)]",0.00822583684312136
69,"{'lookback': 32, 'filters': 38, 'kernel_size': 4, 'lstm_units': 55, 'dense_units': 31, 'dropout_rate': 0.42068736189423417, 'learning_rate': 0.003864917075845779, 'l2_reg': 0.0012889354767186409, 'batch_size_exp': 5, 'batch_size': 32}","[np.float64(0.006297158389764464), np.float64(0.006228266482240623), np.float64(0.012152578529004145), np.float64(0.008838378751493578), np.float64(0.00757054131325659)]",0.008217384693151879
71,"{'lookback': 30, 'filters': 48, 'kernel_size': 4, 'lstm_units': 59, 'dense_units': 36, 'dropout_rate': 0.3790341424691749, 'learning_rate': 0.005740798822901908, 'l2_reg': 0.0016842369970101808, 'batch_size_exp': 5, 'batch_size': 32}","[np.float64(0.006259573923270789), np.float64(0.006236396444331928), np.float64(0.012163400068193858), np.float64(0.008885880411329481), np.float64(0.00756884972185018)]",0.008222820113795246
72,"{'lookback': 33, 'filters': 46, 'kernel_size': 4, 'lstm_units': 49, 'dense_units': 34, 'dropout_rate': 0.3580278952000885, 'learning_rate': 0.006481409336126874, 'l2_reg': 0.0002554796708519562, 'batch_size_exp': 5, 'batch_size': 32}","[np.float64(0.006259215284845727), np.float64(0.006225196411240858), np.float64(0.012142606857651752), np.float64(0.008826834958902324), np.float64(0.007600526141926298)]",0.008210875930913391
73,"{'lookback': 29, 'filters': 42, 'kernel_size': 4, 'lstm_units': 50, 'dense_units': 31, 'dropout_rate': 0.3940586398189885, 'learning_rate': 0.0045163832658139105, 'l2_reg': 0.00025528419263640774, 'batch_size_exp': 5, 'batch_size': 32}","[np.float64(0.006269788537415436), np.float64(0.00622228195458603), np.float64(0.01214749980228109), np.float64(0.00882586635759757), np.float64(0.0075652438845116125)]",0.008206136107278347
74,"{'lookback': 33, 'filters': 41, 'kernel_size': 4, 'lstm_units': 51, 'dense_units': 30, 'dropout_rate': 0.3960383415410654, 'learning_rate': 0.006321361471797454, 'l2_reg': 0.00039394281897460703, 'batch_size_exp': 5, 'batch_size': 32}","[np.float64(0.006251033059046894), np.float64(0.006221507581599468), np.float64(0.012153960341132574), np.float64(0.008818749407562193), np.float64(0.0075560448395614686)]",0.008200259045780518
